source_value,frequency,concept_id,concept_name,domain,vocabulary
Normal sinus rhythm,1319165.0,4276669,Normal sinus rhythm,Condition,SNOMED
Normal ECG,882369.0,4276669,Normal sinus rhythm,Condition,SNOMED
Abnormal ECG,742922.0,320536,Electrocardiogram abnormal,Condition,SNOMED
Otherwise normal ECG,277949.0,4276669,Normal sinus rhythm,Condition,SNOMED
Sinus bradycardia,269482.0,4171683,Sinus bradycardia,Condition,SNOMED
Prolonged QT,113124.0,4008859,Prolonged QT interval,Condition,SNOMED
Sinus tachycardia,89825.0,4007310,Sinus tachycardia,Condition,SNOMED
Left axis deviation,89777.0,4215406,Left axis deviation,Condition,SNOMED
Nonspecific T wave abnormality,82223.0,4065390,EKG: T wave abnormal,Condition,SNOMED
Right bundle branch block,81016.0,314059,Right bundle branch block,Condition,SNOMED
Atrial fibrillation,78552.0,313217,Atrial fibrillation,Condition,SNOMED
Sinus rhythm with 1st degree A-V block,48971.0,314379,First degree atrioventricular block,Condition,SNOMED
"Inferior infarct , age undetermined",43177.0,4247796,Inferior myocardial infarction on electrocardiogram,Condition,SNOMED
Possible Left atrial enlargement,41283.0,43022066,Left atrial enlargement,Condition,SNOMED
Incomplete right bundle branch block,41237.0,4088338,Incomplete right bundle branch block,Condition,SNOMED
Low voltage QRS,39473.0,4088499,Low QRS voltages,Condition,SNOMED
Normal sinus rhythm with sinus arrhythmia,32654.0,4276669,Normal sinus rhythm,Condition,SNOMED
Nonspecific ST and T wave abnormality,31478.0,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,SNOMED
Premature ventricular complexes,31060.0,4089462,Ventricular premature complex,Condition,SNOMED
Nonspecific ST abnormality,30946.0,4184762,EKG ST segment changes,Condition,SNOMED
Left ventricular hypertrophy with repolarization abnormality,29792.0,4184746,Left ventricular hypertrophy,Condition,SNOMED
Marked sinus bradycardia,23188.0,4171683,Sinus bradycardia,Condition,SNOMED
Atrial fibrillation with rapid ventricular response,21052.0,44782442,Atrial fibrillation with rapid ventricular response,Condition,SNOMED
"T wave abnormality , consider lateral ischemia",20992.0,4137879,EKG: lateral ischemia,Condition,SNOMED
Left anterior fascicular block,20365.0,4295336,Left anterior fascicular block,Condition,SNOMED
Early repolarization,19427.0,4326509,Early repolarization,Condition,SNOMED
"Septal infarct , age undetermined",18929.0,4030021,Septal infarction by electrocardiogram,Condition,SNOMED
Sinus bradycardia with 1st degree A-V block,16182.0,4171683,Sinus bradycardia,Condition,SNOMED
Sinus rhythm with occasional,16025.0,4091898,Sinus rhythm,Condition,SNOMED
"ST & T wave abnormality , consider lateral ischemia",15915.0,4137879,EKG: lateral ischemia,Condition,SNOMED
"T wave abnormality , consider anterior ischemia",15578.0,4139185,EKG: anterior ischemia,Condition,SNOMED
